,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
0,s1,TV Show,3%,,"['joão miguel', 'bianca comparato', 'michel gomes']",['brazil'],"August 14, 2020",2020,3,4 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor."
1,s2,Movie,7:19,Jorge Michel Grau,"['demián bichir', 'héctor bonilla', 'oscar serrano']",['mexico'],"December 23, 2016",2016,3,93 min,"Dramas, International Movies","After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive."
2,s3,Movie,23:59,Gilbert Chan,"['tedd chan', 'stella chung', 'henley hii']",['other'],"December 20, 2018",2011,3,78 min,"Horror Movies, International Movies","When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp."
3,s4,Movie,9,Shane Acker,"['elijah wood', 'john c. reilly', 'jennifer connelly']",['united states'],"November 16, 2017",2009,3,80 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group."
4,s5,Movie,21,Robert Luketic,"['jim sturgess', 'kevin spacey', 'kate bosworth']",['united states'],"January 1, 2020",2008,3,123 min,Dramas,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.
5,s6,TV Show,46,Serdar Akar,"['erdal beşikçioğlu', 'yasemin allen', 'melis birkan']",['turkey'],"July 1, 2017",2016,3,1 Season,"International TV Shows, TV Dramas, TV Mysteries","A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect."
6,s7,Movie,122,Yasir Al Yasiri,"['amina khalil', 'ahmed dawood', 'tarek lotfy']",['egypt'],"June 1, 2020",2019,3,95 min,"Horror Movies, International Movies","After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them."
7,s8,Movie,187,Kevin Reynolds,"['samuel l. jackson', 'john heard', 'kelly rowan']",['united states'],"November 1, 2019",1997,3,119 min,Dramas,"After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment."
8,s9,Movie,706,Shravan Kumar,"['divya dutta', 'atul kulkarni', 'mohan agashe']",['india'],"April 1, 2019",2019,3,118 min,"Horror Movies, International Movies","When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on."
9,s10,Movie,1920,Vikram Bhatt,"['rajneesh duggal', 'adah sharma', 'indraneil sengupta']",['india'],"December 15, 2017",2008,3,143 min,"Horror Movies, International Movies, Thrillers",An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.
10,s11,Movie,1922,Zak Hilditch,"['thomas jane', 'molly parker', 'dylan schmid']",['united states'],"October 20, 2017",2017,3,103 min,"Dramas, Thrillers","A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella."
11,s12,TV Show,1983,,"['robert więckiewicz', 'maciej musiał', 'michalina olszańska']","['other', 'united states']","November 30, 2018",2018,3,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades."
12,s13,TV Show,1994,Diego Enrique Osorno,[],['mexico'],"May 17, 2019",2019,3,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio."
13,s14,Movie,"2,215",Nottapon Boonprakob,['artiwara kongmalai'],['thailand'],"March 1, 2019",2018,3,89 min,"Documentaries, International Movies, Sports Movies","This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017."
14,s15,Movie,3022,John Suits,"['omar epps', 'kate walsh', 'miranda cosgrove']",['united states'],"March 19, 2020",2019,3,91 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers","Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds."
