,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,tconst
7,s8,Movie,187,Kevin Reynolds,"['samuel l. jackson', 'john heard', 'kelly rowan']",['united states'],"November 1, 2019",1997,3,119 min,Dramas,"After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.",8830
94,s95,Movie,28 days,Betty Thomas,"['sandra bullock', 'viggo mortensen', 'dominic west']",['united states'],"September 30, 2020",2000,3,104 min,"Comedies, Dramas","After her drunken antics result in property damage, an alcoholic journalist enters rehab – and soon meets a fellow resident who changes her outlook.",9685
121,s122,Movie,50 first dates,Peter Segal,"['adam sandler', 'drew barrymore', 'rob schneider']",['united states'],"December 1, 2020",2004,3,99 min,"Comedies, Romantic Movies","After falling for a pretty art teacher who has no short-term memory, a marine veterinarian has to win her over again every single day.",1962
153,s154,Movie,a bridge too far,Richard Attenborough,"['dirk bogarde', 'james caan', 'michael caine']","['united states', 'united kingdom']","July 1, 2020",1977,3,176 min,"Action & Adventure, Classic Movies, Dramas",This wartime drama details a pivotal day in 1944 when an Allied task force tried to win World War II by seizing control of key bridges in Holland.,14254
163,s164,Movie,a cinderella story,Mark Rosman,"['hilary duff', 'chad michael murray', 'jennifer coolidge']","['united states', 'canada']","January 1, 2020",2004,3,95 min,"Children & Family Movies, Comedies",Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,2457
165,s166,Movie,a clockwork orange,Stanley Kubrick,"['malcolm mcdowell', 'patrick magee', 'michael bates']","['united kingdom', 'united states']","November 1, 2020",1971,3,137 min,"Classic Movies, Cult Movies, Dramas","In this dark satire from director Stanley Kubrick, a young, vicious sociopath in a dystopian England undergoes an experimental rehabilitation therapy.",10451
169,s170,Movie,a family affair,Tom Fassaert,['tom fassaert'],"['other', 'other', 'south africa']","October 16, 2016",2015,3,111 min,"Documentaries, International Movies",The filmmaker hunts for the missing puzzle pieces of his family history during a visit with a complex and controversial figure: his grandmother.,8922
210,s211,Movie,a night at the roxbury,John Fortenberry,"['will ferrell', 'chris kattan', 'dan hedaya']",['united states'],"December 1, 2019",1998,3,82 min,"Comedies, Cult Movies","After a run-in with Richard Grieco, dimwits Doug and Steve gain entry to a swanky nightclub in this comedy based on a ""Saturday Night Live"" sketch.",7875
250,s251,Movie,a walk to remember,Adam Shankman,"['mandy moore', 'shane west', 'peter coyote']",['united states'],"July 1, 2020",2002,3,102 min,"Dramas, Romantic Movies","When bad boy Landon is cast opposite campus bookworm Jamie in a high school play, romance blooms — until tragedy threatens to tear them apart.",6235
255,s256,Movie,a wrinkle in time,Ava DuVernay,"['storm reid', 'oprah winfrey', 'reese witherspoon']",['united states'],"September 25, 2018",2018,3,110 min,Children & Family Movies,"Years after their father disappears, Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness.",4730
